,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
the_stack_python_script_11440.py,0.0,0,0.0,0,0.5,2,0.0,0,0.0,0,0.0,0,0
the_stack_python_script_16547.py,0.5,2,0.0,2,0.5,2,0.3333333333333333,3,0.75,12,0.0,0,1
the_stack_python_script_3094.py,1.0,2,0.7647058823529411,17,1.0,7,0.23076923076923078,13,0.3333333333333333,3,0.0,0,1
the_stack_python_script_11341.py,0.0,0,0.25,4,1.0,2,0.23076923076923078,13,0.46153846153846156,26,0.0,0,1
the_stack_python_script_17334.py,0.8,5,1.0,4,0.8,15,0.125,8,0.0,17,0.0,0,1
the_stack_python_script_92126.py,0.0,0,0.0,2,0.8888888888888888,9,0.0,10,0.0,0,0.0,0,0
the_stack_python_script_12548.py,0.0,0,0.0,0,1.0,13,0.42857142857142855,14,0.0,0,0.0,1,1
the_stack_python_script_15879.py,0.0,0,0.0,0,1.0,15,0.13043478260869565,23,0.0,0,0.0,0,0
the_stack_python_script_12382.py,0.0,0,0.0,0,0.5,2,0.0,6,0.0,1,0.0,0,1
the_stack_python_script_11818.py,0.0,0,1.0,1,1.0,4,0.25,4,0.10526315789473684,19,0.0,1,1
the_stack_python_script_80304.py,1.0,2,0.68,25,0.8695652173913043,23,0.32142857142857145,28,0.2,5,0.3333333333333333,3,1
the_stack_python_script_11526.py,0.0,0,1.0,2,0.9230769230769231,13,0.35,20,0.0,2,0.0,2,1
the_stack_python_script_13685.py,0.0,0,0.3333333333333333,3,1.0,3,0.6,5,0.36363636363636365,22,0.0,0,1
the_stack_python_script_43242.py,0.0,0,0.0,0,0.8333333333333334,6,0.0625,16,0.0,2,0.0,0,1
the_stack_python_script_1225.py,0.4,5,0.65,20,1.0,13,0.1111111111111111,18,0.0,7,0.0,3,1
the_stack_python_script_92992.py,0.6,5,0.4,5,0.5,2,0.8,5,0.5384615384615384,13,0.0,3,1
the_stack_python_script_12820.py,0.0,0,1.0,1,0.9444444444444444,18,0.16666666666666666,6,0.0,0,0.0,0,0
the_stack_python_script_18372.py,1.0,2,0.0,0,1.0,5,0.2857142857142857,7,1.0,1,0.0,0,1
the_stack_python_script_92459.py,1.0,2,0.0,0,0.875,8,0.3333333333333333,12,1.0,1,0.0,0,1
the_stack_python_script_8029.py,0.875,8,0.5,4,0.8888888888888888,9,0.7368421052631579,19,0.5,2,0.0,1,1
the_stack_python_script_1417.py,0.0,0,0.0,0,1.0,8,0.25,4,0.0,1,0.0,0,1
the_stack_python_script_10849.py,1.0,2,0.8333333333333334,12,0.8947368421052632,19,0.25,4,0.0,0,0.0,0,0
the_stack_python_script_16508.py,1.0,2,1.0,4,0.75,4,0.0,0,0.0,2,0.0,0,1
the_stack_python_script_3206.py,1.0,5,0.75,12,1.0,15,0.375,16,0.35714285714285715,14,0.0,0,1
the_stack_python_script_17314.py,0.5,2,0.6666666666666666,6,0.8666666666666667,15,0.36363636363636365,11,0.125,8,0.0,0,1
the_stack_python_script_13688.py,0.0,0,0.0,0,1.0,1,0.5,2,0.0,0,0.0,1,1
the_stack_python_script_15370.py,0.0,0,0.0,0,1.0,7,0.08333333333333333,12,0.0,2,0.0,0,1
the_stack_python_script_10795.py,0.3333333333333333,3,0.5,4,0.75,16,0.5,12,0.5,18,0.0,0,1
the_stack_python_script_86869.py,0.0,0,0.8571428571428571,7,0.9411764705882353,17,0.30952380952380953,42,0.0,1,0.0,1,1
the_stack_python_script_12475.py,0.0,1,0.5,4,1.0,4,0.0,0,0.0,1,0.0,0,1
the_stack_python_script_86321.py,1.0,2,0.5,2,1.0,2,0.75,4,0.7692307692307693,13,0.0,0,1
the_stack_python_script_16801.py,0.6666666666666666,12,1.0,4,1.0,2,0.125,8,0.0,0,0.0,1,1
the_stack_python_script_79911.py,0.0,0,0.0,0,1.0,5,0.0,7,0.125,8,0.0,0,1
the_stack_python_script_86260.py,0.6666666666666666,3,0.75,4,0.9047619047619048,21,0.4230769230769231,26,0.2857142857142857,7,0.5,4,1
the_stack_python_script_10992.py,0.0,1,1.0,5,0.9047619047619048,21,0.2,15,0.0,1,0.0,0,1
the_stack_python_script_32054.py,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0
the_stack_python_script_17207.py,1.0,2,0.0,0,1.0,2,0.0,2,0.0,0,0.0,0,0
the_stack_python_script_13650.py,0.5,2,0.5,8,0.875,24,0.5,20,0.7058823529411765,17,0.0,0,1
the_stack_python_script_15113.py,0.0,0,0.16666666666666666,12,0.8666666666666667,15,0.36363636363636365,11,0.0,0,0.0,0,0
the_stack_python_script_30814.py,0.0,0,0.0,0,0.8,5,0.35714285714285715,14,0.0,0,0.0,0,0
the_stack_python_script_79991.py,0.0,0,0.4,5,0.5,4,0.38461538461538464,13,0.07142857142857142,14,0.0,1,1
the_stack_python_script_19096.py,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,1
